IndiceIPC;Tasa desempleo std;TPM std;Tipo de Cambio std
85.67;-1.007715808;0.189723799;-1.808350695
86.09;-1.007715808;0.157621634;-1.632644885
86.81;-0.806619527;0.064525353;-1.537256233
87.35;-1.074747902;0.029212971;-1.63029473
87.65;-0.940683715;0.029212971;-1.622600338
87.69;-0.806619527;0.029212971;-1.646244874
87.9;-0.739587434;-0.009309628;-1.5942291
88.18;-0.605523246;-0.089565042;-1.383492606
88.92;-0.605523246;-0.17624089;-1.237743047
89.84;-0.739587434;-0.246865654;-1.273007646
89.87;-1.007715808;-0.291808686;-1.247939247
89.5;-1.007715808;-0.291808686;-1.041088311
89.56;-1.007715808;-0.291808686;-0.960302009
89.88;-1.007715808;-0.291808686;-0.932923656
90.44;-1.007715808;-0.291808686;-0.883528126
90.97;-0.873651621;-0.291808686;-1.022802695
91.13;-0.605523246;-0.291808686;-1.094896729
91.57;-0.67255534;-0.291808686;-0.868447858
91.95;-0.67255534;-0.291808686;-0.664778787
92.58;-0.739587434;-0.291808686;-0.280829713
93.05;-0.806619527;-0.291808686;-0.24429796
93.43;-0.873651621;-0.250075871;-0.309152894
93.4;-1.007715808;-0.211553272;-0.120211326
93.41;-1.208812089;-0.179451106;-0.117829155
93.85;-1.208812089;-0.131297858;0.061223612
94.11;-1.141779996;-0.131297858;-0.119378433
94.47;-0.806619527;-0.131297858;-0.341976455
94.78;-0.739587434;-0.131297858;-0.464668004
94.99;-0.471459059;-0.131297858;-0.343970934
95.42;-0.471459059;-0.131297858;-0.352044483
95.65;-0.270362778;-0.131297858;-0.58968382
95.7;-0.404426965;-0.131297858;-0.57630479
95.93;-0.471459059;-0.131297858;-0.477811347
96.09;-0.67255534;-0.131297858;-0.525433476
96.14;-0.873651621;-0.131297858;-0.503236253
95.94;-1.007715808;-0.131297858;-0.492615662
96.46;-0.873651621;-0.131297858;-0.55301245
96.69;-0.605523246;-0.211553272;-0.734843373
97.06;-0.471459059;-0.250075871;-0.552928303
97.3;-0.404426965;-0.330331285;-0.608123015
97.42;-0.270362778;-0.404166266;-0.448419148
97.04;-0.270362778;-0.452319514;-0.512985435
97.27;-0.337394871;-0.452319514;-0.583574332
97.47;-0.538491153;-0.452319514;-0.724406364
97.32;-0.471459059;-0.452319514;-0.913470711
97.89;-0.471459059;-0.452319514;-0.872979904
97.98;-0.67255534;-0.452319514;-0.830303278
98.12;-0.806619527;-0.452319514;-0.798394627
98.57;-0.605523246;-0.452319514;-1.115806835
98.62;-0.471459059;-0.452319514;-1.203661348
98.82;-0.203330684;-0.452319514;-1.13687054
99.13;-0.471459059;-0.452319514;-1.166166232
99.41;-0.203330684;-0.452319514;-0.907632351
99.51;-0.13629859;-0.452319514;-0.806255294
99.86;0.131829784;-0.452319514;-0.641854224
100.04;-0.002234403;-0.452319514;-0.60299129
100.38;-0.13629859;-0.452319514;-0.353633805
100.74;-0.203330684;-0.420217349;-0.394820964
100.74;-0.270362778;-0.3720641;-0.387025032
100.64;-0.404426965;-0.3720641;-0.342794226
100.75;-0.404426965;-0.368853884;-0.392587515
100.79;-0.471459059;-0.291808686;-0.602449472
101.27;-0.337394871;-0.291808686;-0.487454613
101.54;-0.404426965;-0.291808686;-0.490280672
102.15;-0.337394871;-0.291808686;-0.241520045
102.2;-0.270362778;-0.410586699;-0.237423463
102.43;-0.13629859;-0.452319514;-0.301618121
102.62;-0.069266497;-0.452319514;-0.022132141
102.63;-0.270362778;-0.593569043;0.025779275
103.47;-0.404426965;-0.632091642;0.051965368
103.55;-0.471459059;-0.693085757;0.613062016
103.66;-0.404426965;-0.693085757;0.550990053
104.24;-0.203330684;-0.693085757;0.573811215
104.71;0.064797691;-0.693085757;0.813745692
105.06;0.332926065;-0.81186377;1.248446123
105.01;0.869182815;-1.094362828;1.390026139
104.96;2.343888875;-1.094362828;1.070806858
104.89;3.014209812;-1.094362828;0.786838188
104.99;3.617498655;-1.094362828;0.695956985
105.13;3.483434468;-1.094362828;0.695277716
105.8;3.081241906;-1.094362828;0.581440963
106.52;2.61201725;-1.094362828;0.731727623
106.38;2.075760501;-1.094362828;0.475105063
106.74;1.740600032;-1.094362828;0.190483331
107.49;1.673567939;-1.094362828;0.077480915
107.69;1.740600032;-1.094362828;0.068083426
108.09;1.807632126;-1.094362828;0.105891635
108.5;1.673567939;-1.094362828;-0.081359028
108.79;1.539503751;-1.094362828;-0.036729676
108.88;1.204343283;-1.094362828;0.107695438
109.76;0.802150721;-1.052630013;0.349290055
110.15;0.534022346;-1.014107414;0.646407503
111.45;0.466990253;-0.773341171;0.684806371
112.94;0.265893972;-0.532574929;0.991393132
113.51;-0.13629859;-0.3720641;0.977989571
114.39;-0.337394871;-0.144138724;1.346985303
115.77;-0.270362778;0.096627519;1.073281211
116.1;-0.13629859;0.510745456;0.921809243
118.26;0.064797691;0.552478271;0.842134213
119.91;-0.002234403;0.992277941;1.003247416
121.35;0.064797691;1.319720031;1.349695816
122.48;0.064797691;1.57332714;1.43441477
124.16;0.131829784;1.772360567;2.404359992
125.67;0.131829784;1.875087498;1.905378878
126.75;0.198861878;2.131904823;2.073767615
127.41;0.198861878;2.298836085;2.426486773
128.65;0.131829784;2.356619983;2.033785133
129.02;0.131829784;2.356619983;1.615306883
130.05;0.198861878;2.356619983;1.116610912
129.97;0.466990253;2.356619983;0.832732766
131.38;0.735118627;2.356619983;0.946436966
131.79;0.668086534;2.356619983;0.889141385
131.94;0.534022346;2.356619983;0.836553987
131.74;0.534022346;2.356619983;0.849060842
132.2;0.735118627;2.3405689;0.985798546
132.35;0.869182815;2.035598326;1.413082573
133.24;0.802150721;1.833354682;1.703693391
133.82;0.802150721;1.778781;2.127751367
134.82;0.668086534;1.634321255;1.726043155
134.1;0.534022346;1.544435191;1.605240709
